Question,No Selection,Not at all,Rarely,Sometimes,Often,Almost Always
L11a Lead Skills Interests,1,2,,7,109,213
L11b Lead Struggle Understand,,41,147,123,15,6
L11c When Upset,2,,2,27,110,191
L11d Doubtful Self,,66,132,105,24,5
L11e Expect Work Harder,,184,95,46,6,1
L11f Top Notch,,30,70,124,91,17
L11g Personal Feeligs,,25,67,111,96,33
L11h Highly Motivated,,1,9,73,143,106
L11i Time Effort,1,236,84,11,,
L11j Make Exceptions,2,55,148,96,26,5
L11j Often Upset,1,78,160,71,18,4
L11k Actions Demonstrate,1,1,4,42,192,92
L11k Plan Future,4,3,7,35,140,143
L11l Optimistic,3,,2,28,150,149
L11l Teams Better Repetitive,,74,133,110,11,4
L11m Learn Successful,2,,13,71,166,80
L11n Criticize Threatened,,68,150,101,11,2
L11o Team Same Objective,,,2,34,142,154
