L00_Response_ID,L00_Random_ID_Num,L12xx_Other,L12xx_Other_CATEGORIZED_role1,L12xx_Other_CATEGORIZED_role2,L12xx_Other_CATEGORIZED_role3
1,93658,,,,
2,12094,,,,
3,32323,Director STEM Innovation,Director of Education or Education Officer,,
5,56480,,,,
6,63636,,,,
7,32323,,,,
8,12272,,,,
9,21718,,,,
10,26364,,,,
11,14271,,,,
12,20181,,,,
13,13151,,,,
14,58766,,,,
15,36331,,,,
16,87020,,,,
17,13210,,,,
18,20926,,,,
19,12094,,,,
20,63805,,,,
21,57343,,,,
22,76315,,,,
23,28511,,,,
24,93658,,,,
25,22086,,,,
26,96430,,,,
27,12094,,,,
28,63041,,,,
29,12094,,,,
30,26364,,,,
31,36998,,,,
32,39544,,,,
33,80670,,,,
34,48239,,,,
35,66359,,,,
36,54177,,,,
37,72462,,,,
38,17321,,,,
39,17321,,,,
40,66359,,,,
41,66491,,,,
42,17321,,,,
43,72964,,,,
44,36608,,,,
45,62612,,,,
46,13596,,,,
47,30975,,,,
48,19222,Specialist,Unclear,,
49,45148,,,,
50,86248,,,,
51,62612,,,,
52,87783,,,,
53,94663,,,,
54,36036,,,,
55,36609,"Brand Manager, Designer, Fabricator",Director of Marketing,Designer,Fabricator
56,87783,,,,
57,71365,,,,
58,87783,,,,
59,11551,,,,
60,30975,,,,
61,11551,,,,
62,73780,,,,
63,73780,Past president and chairman it the board,Member,,
64,73780,,,,
65,84377,,,,
66,73780,,,,
67,34678,,,,
68,73780,,,,
69,73780,,,,
70,29259,,,,
71,56187,,,,
72,81398,,,,
73,69996,,,,
74,41911,,,,
75,24055,,,,
76,20703,,,,
77,79611,,,,
78,19761,,,,
79,89444,,,,
80,41911,,,,
81,33035,Co-owner,Owner/Operator,,
82,33035,,,,
83,63494,,,,
84,81398,,,,
85,20703,,,,
86,93559,,,,
87,52819,,,,
88,42260,Chief of Staff,Chief Executive Officer,,
89,42260,,,,
90,62431,,,,
91,24081,,,,
92,94514,,,,
93,42260,,,,
94,42260,,,,
95,65099,,,,
96,77791,,,,
97,49968,,,,
98,41911,,,,
99,50389,,,,
100,80232,,,,
101,50926,,,,
102,11551,,,,
103,30619,,,,
104,84567,,,,
105,10881,,,,
106,19704,,,,
107,41911,,,,
108,82755,,,,
109,28902,,,,
110,62951,,,,
111,60829,,,,
112,37633,,,,
113,95840,,,,
114,76429,,,,
115,80705,,,,
116,10500,,,,
117,21050,,,,
118,28343,,,,
119,32364,,,,
120,50926,,,,
121,63475,,,,
122,16523,,,,
123,80230,,,,
124,23844,,,,
125,18541,,,,
126,71365,,,,
127,66359,,,,
128,18534,,,,
129,11185,,,,
130,61173,,,,
131,72154,,,,
132,65848,,,,
133,74337,,,,
134,65848,,,,
135,63906,My partners and I wear a lot of hats,Unclear,,
136,18321,Full member,Member,,
137,46964,Chief Financial Officer (CFO),Chief Financial Officer,,
138,46964,,,,
139,63157,,,,
140,86898,,,,
141,74918,,,,
142,74918,,,,
143,16324,,,,
144,87581,,,,
145,15258,"charter member,tutor",Member,,
146,18541,,,,
147,41033,,,,
148,81467,,,,
149,49977,,,,
150,74443,,,,
151,37086,,,,
153,50926,,,,
154,72919,,,,
155,50926,,,,
156,72462,,,,
157,26545,"My makerspace is part of the high school I teach at, which makes the application of these questions somewhat difficult.",Instructor / Faculty,,
158,41911,,,,
159,61173,,,,
160,56817,,,,
161,79432,,,,
162,17971,,,,
163,57680,,,,
164,87581,,,,
165,35991,,,,
166,62889,,,,
167,97100,,,,
168,87581,,,,
169,87581,,,,
170,87581,,,,
171,33957,,,,
173,97100,,,,
175,40612,Facilities manager,Facilities,,
176,65199,,,,
177,72435,,,,
178,48557,,,,
179,40612,"communications, partnerships manager, event planning and coordinating, serving as front of house point person private tour manager and coordinator, purchasing.",Community Liaison,Marketing Coordinator,Manager
180,77231,,,,
181,16848,,,,
182,50926,,,,
183,95686,,,,
184,50926,,,,
185,13543,,,,
186,77702,,,,
187,50926,,,,
188,50926,,,,
189,50926,,,,
190,50926,,,,
191,50926,,,,
192,50926,,,,
193,76690,,,,
194,18541,,,,
195,50926,,,,
196,89371,,,,
197,13055,,,,
198,73451,,,,
199,19723,,,,
201,63637,,,,
202,47063,,,,
203,26163,,,,
204,14745,,,,
205,94820,,,,
206,60450,Assistant Director,Director,,
