M10 Ethnicity,,,,,,,,,
"Totals include data from  ""other_please specify answers"" ",,,,,,,,,
Asian,26,,,,,,,,
Black/African American,24,,,,,,,,
Caucasian,701,,,,,,,,
Hispanic/Latinx,22,,,,,,,,
Native American,3,,,,,,,,
Mixed Race,22,,,,,,,,
Hebrew/Jewish,1,,,,,,,,
MiddleEastern/North African2,2,,,,,,,,
Samoan/Pacific Islander,1,,,,,,,,
Choose not to disclose,58,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
